author,fname,lname,gender,pubtitle,date,id
"Lewis, Chris",Chris, Lewis,male,"2007 37th Annual Frontiers In Education Conference - Global Engineering: Knowledge Without Borders, Opportunities Without Passports",2007,808
"Kappler, Christa",Christa, Kappler,female,Journal of Educational Research,2014,1258
"Kern, Christel",Christel,Kern,female,BioScience,2015,1056
"McGeorge, Christi",Christi, McGeorge,female,Journal of Women and Minorities in Science and Engineering,2012,387
"Schunn, Christian",Christian, Schunn,male,International Journal of Science Education,2018,1251
"Moyer, Christina",Christina, Moyer,female,Cultural diversity & ethnic minority psychology,2014,85
"Dyar, Christina",Christina, Dyar,female,CBE Life Sciences Education,2016,185
"Outlay, Christina",Christina,Outlay,female,ACM Transactions on Computing Education,2017,351
"Morton, Christina",Christina,Morton,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,240
"Weber, Christina",Christina,Weber,female,International Review of Qualitative Research,2012,1871
"Sanzari, Christina",Christina, Sanzari,female,Sex Roles,2018,1765
"Torres-Rouff, Christina",Christina, Torres-Rouff,female,American Journal of Physical Anthropology,2018,870
"Melki, Christina",Christina, Melki,female,Science Education,2014,917
"Chapman, Christina",Christina, Chapman,female,Advances in Radiation Oncology,2018,505
"Mattley, Christine",Christine, Mattley,female,Advances in Gender Research,2014,688
"Mummery, Christine",Christine, Mummery,female,Cell Stem Cell,2015,467
"Logel, Christine",Christine, Logel,female,Journal of educational psychology,2015,154
"Starr, Christine",Christine,Starr,female,Psychology of Women Quarterly,2018,1470
"Shenouda, Christine",Christine,Shenouda,female,International Review of Social Psychology,2014,1865
"Buschor, Christine",Christine,Buschor,female,Journal of Educational Research,2014,1254
"O'Donnell, Christine",Christine,O'Donnell,female,AIP Conference Proceedings,2015,1
"Runyon, Christopher",Christopher, Runyon,male,CBE Life Sciences Education,2017,193
"Wegemer, Christopher",Christopher,Wegemer,male,Journal of Vocational Behavior,2018,610
"Stripling, Christopher",Christopher, Stripling,male,Journal of Agricultural Education,2013,20
"Rozek, Christopher",Christopher, Rozek,male,Sex Roles,2017,1779
"Hovey, Christopher",Christopher, Hovey,male,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,261
"Brooks, Christopher",Christopher, Brooks,male,Learning Communities: Research & Practice,2016,711
"Glass, Christy",Christy,Glass,female,Journal of Diversity in Higher Education,2010,128
"Demetry, Chrysanthe",Chrysanthe,Demetry,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,228
"Meadowbrooke, Chrysta",Chrysta, Meadowbrooke,NA,Journal of Medical Internet Research,2013,853
"Heeren, Cinda",Cinda, Heeren,NA,Frontiers in Psychology,2017,763
"Hmelo-Silver, Cindy",Cindy, Hmelo-Silver,female,Journal of Science Education and Technology,2016,1676
"DeBlaere, Cirleen",Cirleen, DeBlaere,NA,Journal of Counseling Psychology,2015,96
"Ballen, Cissy",Cissy, Ballen,NA,PLoS ONE,2018,1158
"Ballen, Cissy",Cissy,Ballen,NA,BioScience,2018,1059
"Ballen, Cissy",Cissy,Ballen,NA,PLoS ONE,2017,1133
"Wilson, Claire",Claire, Wilson,female,Journal of Science Education and Technology,2017,1664
"Robbins, Claire",Claire, Robbins,female,Journal of Higher Education,2012,1281
"Pomeroy, Claire",Claire, Pomeroy,female,Cell Stem Cell,2015,471
"Wladis, Claire",Claire,Wladis,female,Community College Review,2015,1331
"Wladis, Claire",Claire,Wladis,female,Computers & Education,2015,530
"Richardson, Clarissa M.",Clarissa M., Richardson,NA,Journal of vocational behavior,2013,622
"Rankins, Claudia",Claudia, Rankins,female,New Directions for Higher Education,2013,932
"Rankins, Claudia",Claudia,Rankins,female,Peer Review,2014,361
"Cooperman, Claudia",Claudia, Cooperman,female,Psychology of Women Quarterly,2018,1497
"Herman, Clem",Clem,Herman,male,Journal of Education & Work,2015,1253
"Carrigan, Coleen",Coleen,Carrigan,female,Journal of Technology Transfer,2017,1696
"Carrigan, Coleen",Coleen, Carrigan,female,Journal of Women and Minorities in Science and Engineering,2007,421
"Carrigan, Coleen",Coleen,Carrigan,female,Journal of Diversity in Higher Education,2011,130
"Ganley, Colleen",Colleen,Ganley,female,American Educational Research Journal,2018,1308
"Ruud, Collin",Collin,Ruud,male,"Journal of College Student Retention: Research, Theory and Practice",2018,1405
"Mineo, Concetta",Concetta, Mineo,female,Psychology of Women Quarterly,2013,1500
"McNeely, Connie",Connie,McNeely,female,Review of Policy Research,2010,1943
"McNeely, Connie",Connie, McNeely,female,Review of Policy Research,2010,1946
"McNeely, Connie",Connie, McNeely,female,Review of Policy Research,2009,1948
"Adame, Consolación",Consolación,Adame,NA,Journal of Business Research,2016,568
"Columb, Corey",Corey, Columb,male,Sex Roles,2018,1759
"Bargmann, Cori",Cori, Bargmann,female,Cell Stem Cell,2015,451
"Moss-Racusin, Corinne",Corinne,Moss-Racusin,female,Sex Roles,2018,1764
"Moss-Racusin, Corinne",Corinne,Moss-Racusin,female,Psychology of Women Quarterly,2015,1471
"Moss-Racusin, Corinne",Corinne, Moss-Racusin,female,Proceedings of the National Academy of Sciences of the United States of America,2015,1043
"Boushel, Corra",Corra, Boushel,female,Science Communication,2017,1527
"Moss-Racusin, Corrinne",Corrinne,Moss-Racusin,female,Journal of Experimental Psychology: Applied,2018,157
"Bahrim, Cristian",Cristian, Bahrim,male,Journal of Science Education and Technology,2016,1668
"Lopez, Cristina",Cristina,Lopez,female,Social Sciences,2018,995
"Martin, Cristopher",Cristopher, Martin,male,Journal of Science Education and Technology,2016,1672
"Hoyt, Crystal",Crystal,Hoyt,female,Leadership Quarterly,2016,640
"Deville, Curtiland",Curtiland, Deville,NA,Advances in Radiation Oncology,2018,512
"Anderson, Cynthia",Cynthia,Anderson,female,Advances in Gender Research,2014,687
"Winston-Proctor, Cynthia",Cynthia, Winston-Proctor,female,Review of Research in Education,2018,1521
"Ricard, Cynthia",Cynthia, Ricard,female,Journal of Research Administration,2011,1573
"Martin, Cynthia",Cynthia, Martin,female,Gender Issues,2011,1626
"Furse, Cynthia",Cynthia, Furse,female,Journal of Career Assessment,2013,1378
"Young, Cynthia",Cynthia, Young,female,Journal of College Student Retention-Research Theory & Practice,2016,1412
"Stanich, Cynthia",Cynthia,Stanich,female,Chemistry Education Research and Practice,2018,1187
"Raman, D. Raj",D. Raj, Raman,NA,International Journal of Engineering Education,2013,495
"Anderson, D.A.",D.A., Anderson,NA,Group Processes and Intergroup Relations,2018,1362
"Oyler, D.L.",D.L., Oyler,NA,Group Processes and Intergroup Relations,2018,1358
"Tierney, D.N.",D.N., Tierney,NA,Group Processes and Intergroup Relations,2018,1361
"Gelbgiser, Dafna",Dafna, Gelbgiser,female,Sociological Science,2017,1568
"Gelbgiser, Dafna",Dafna, Gelbgiser,female,Social science research,2013,675
"Martinez, Dalinda",Dalinda, Martinez,female,Change,2015,1194
"Chen, Dandan",Dandan, Chen,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,265
"Grunspan, Daniel",Daniel,Grunspan,male,PLoS ONE,2016,1136
"Robinson, Daniel",Daniel, Robinson,male,Journal of Veterinary Medical Education,2009,1879
"Glaser, Daniela",Daniela, Glaser,female,Social Sciences,2017,1001
"Ramo, Danielle",Danielle, Ramo,female,Journal of Medical Internet Research,2018,849
"Abraham, Danielle",Danielle, Abraham,female,Social Sciences,2017,1003
"Bitterman, Danielle",Danielle, Bitterman,female,Advances in Radiation Oncology,2018,507
"Morales, Danielle",Danielle,Morales,female,Science Education,2018,899
"Myers, Dante",Dante,Myers,male,Career Development Quarterly,2017,1911
"Myers, Dante",Dante, Myers,male,Career Development Quarterly,2015,1910
"Ireland, Danyelle",Danyelle,Ireland,female,Review of Research in Education,2018,1519
"Pedersen, Daphne",Daphne,Pedersen,female,Sociological Focus,2018,1299
"Pedersen, Daphne",Daphne,Pedersen,female,Journal of Feminist Family Therapy,2017,1259
"Ronan, Darcy",Darcy, Ronan,female,Journal of Research in Science Teaching,2017,884
"Smith, Daryl",Daryl,Smith,male,Studies in Higher Education,2017,1303
"Blustein, David",David,Blustein,male,Journal of Career Development,2013,1390
"Renz, David",David, Renz,male,Leadership & Management in Engineering,2010,222
"Miller, David",David,Miller,male,Learning and Individual Differences,2013,642
"Ober, David",David, Ober,male,School Science and Mathematics,2015,921
"Bristol, David",David,Bristol,male,Journal of the American Veterinary Medical Association,2011,339
"MacPhee, David",David,MacPhee,male,Analyses of Social Issues and Public Policy,2013,1886
"Miller, David",David, Miller,male,Perspectives on Psychological Science,2016,1453
"Koonce, David",David, Koonce,male,Advances in Gender Research,2014,690
"Kniola, David",David,Kniola,male,Higher Education,2012,1631
"Berg, David",David, Berg,male,Cell Stem Cell,2015,452
"Geary, David",David, Geary,male,Psychological Science,2018,1462
"Miller, David",David,Miller,male,Frontiers in psychology,2015,765
"Blustein, David",David, Blustein,male,Journal of Science Education and Technology,2016,1683
"Lindbo, David",David, Lindbo,male,Soil Science Society of America Journal,2018,1581
"Reed, David",David, Reed,male,Horttechnology,2014,212
"Weindorf, David",David, Weindorf,male,Soil Science Society of America Journal,2018,1583
"Dawley, David",David,Dawley,male,Forensic Science Policy & Management: An International Journal,2014,1845
"Marx, David",David, Marx,male,Sex Roles,2013,1782
"Johnson, Dawn",Dawn,Johnson,female,Journal of College Student Development,2012,1855
"Johnson, Dawn",Dawn,Johnson,female,New Directions for Institutional Research,2011,952
"Wendell, Dawn",Dawn, Wendell,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,270
"Weintraub, Dayna",Dayna, Weintraub,female,Research in Higher Education,2016,1742
"Chakraborty, Debolina",Debolina, Chakraborty,NA,Agronomy Journal,2017,218
"Ward, Deborah",Deborah, Ward,female,Personality and Social Psychology Bulletin,2018,1436
"Olsen, Deborah",Deborah, Olsen,female,Higher Education,2012,1633
"O'Bannon, Deborah",Deborah,O'Bannon,female,Leadership & Management in Engineering,2010,220
"Easterly, Debra",Debra,Easterly,female,Journal of Research Administration,2011,1572
"Major, Debra",Debra, Major,female,Career Development Quarterly,2010,1905
"Major, Debra",Debra, Major,female,Career Development Quarterly,2015,1907
"Major, Debra",Debra, Major,female,Career Development Quarterly,2017,1912
"Wassenberg, Deena",Deena, Wassenberg,female,BioScience,2018,1063
"Sharma, Deepika",Deepika, Sharma,female,International Journal of Information and Communication Technology Education (IJICTE),2017,791
"Crawford, Delois",Delois,Crawford,NA,2014 IEEE Frontiers in Education Conference (FIE) Proceedings,2014,813
"Crawford, DeLois",DeLois, Crawford,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,247
"Rice, Delores",Delores,Rice,female,Journal of STEM Education : Innovations and Research,2014,799
"Evangelou, Demetra",Demetra, Evangelou,female,Motivation and Emotion,2012,1710
"Dortch, Deniece",Deniece,Dortch,NA,NASPA Journal About Women in Higher Education,2017,1288
"Wilson, Denise",Denise,Wilson,female,Journal of Women and Minorities in Science and Engineering,2015,376
"Sekaquaptewa, Denise",Denise, Sekaquaptewa,female,Psychology of Women Quarterly,2016,1507
"Sekaquaptewa, Denise",Denise, Sekaquaptewa,female,Social Psychology of Education,2013,1827
"DeBay, Dennis",Dennis, DeBay,male,Journal of Career Development,2013,1400
"Epple, Dennis",Dennis, Epple,male,American Economic Review,2016,49
"Reidy, Dennis",Dennis, Reidy,male,Journal of Womens Health,2016,1021
"Leung, Desmond",Desmond, Leung,male,Industrial and Organizational Psychology,2018,446
"Bilimoria, Diana",Diana, Bilimoria,female,Career Development International,2013,692
"Bilimoria, Diana",Diana, Bilimoria,female,Frontiers in Psychology,2017,772
"Bilimoria, Diana",Diana, Bilimoria,female,Frontiers in Psychology,2014,760
"Betz, Diana",Diana, Betz,female,Social Psychology of Education,2013,1826
"Halpern, Diane",Diane, Halpern,female,Learning and Individual Differences,2013,643
"Rowland, Diane",Diane, Rowland,female,Agronomy Journal,2017,219
"Morin, Diane",Diane, Morin,female,International Journal of Mentoring and Coaching in Education,2015,702
"Lukas, Dieter",Dieter, Lukas,male,PLoS ONE,2018,1185
"Sarathchandra, Dilshani",Dilshani,Sarathchandra,NA,Social Sciences,2018,971
"Jackson, Dimitra",Dimitra,Jackson,female,New Directions for Institutional Research,2011,950
"Jackson, Dimitra",Dimitra,Jackson,female,The Journal of Negro Education,2013,789
"Jackson, Dimitra",Dimitra,Jackson,female,New Directions for Higher Education,2013,938
"Jackson, Dimitra",Dimitra,Jackson,female,Community College Enterprise,2013,1558
"Verdin, Dina",Dina,Verdin,female,Social Sciences,2018,987
"Tumin, Dmitry",Dmitry, Tumin,male,Demographic Research,2016,1027
"Prime, Dominic",Dominic,Prime,male,Journal of Career Assessment,2015,1380
"Polkowska, Dominika",Dominika,Polkowska,female,Journal of technology management & innovation,2013,1870
"Gruenbacher, Don",Don,Gruenbacher,male,"2007 37th Annual Frontiers In Education Conference - Global Engineering: Knowledge Without Borders, Opportunities Without Passports",2007,804
"Davis, Don",Don, Davis,male,Journal of Counseling Psychology,2015,95
"Whalen, Donald",Donald,Whalen,male,Journal of STEM Education : Innovations and Research,2010,797
"Ginther, Donna",Donna, Ginther,female,Frontiers in psychology,2015,726
"Huryn, Donna",Donna,Huryn,female,ACS Medicinal Chemistry Letters,2017,354
"Sayman, Donna",Donna,Sayman,female,Journal of Latinos & Education,2013,1284
"Milgram, Donna",Donna,Milgram,female,Technology and Engineering Teacher,2011,842
"Ginther, Donna",Donna, Ginther,female,Psychological Science in the Public Interest,2014,1467
"Reese, Donna",Donna, Reese,female,Communications of the Association for Information Systems,2018,839
"Garcia, Donna",Donna, Garcia,female,Cultural diversity & ethnic minority psychology,2014,79
"Garcia, Donna",Donna, Garcia,female,Social Psychology of Education,2015,1832
"Aveni, Doreen",Doreen, Aveni,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,319
"Thoman, Dustin",Dustin,Thoman,male,Psychology of Women Quarterly,2013,1509
"Thoman, Dustin",Dustin,Thoman,male,Sex Roles,2008,1817
"Plant, E. Ashby",E. Ashby, Plant,NA,Sex Roles,2018,1756
"Iskander, E. Tiffany",E. Tiffany,Iskander,NA,Journal of Career Assessment,2013,1376
"McClellan, E.M.",E.M., McClellan,NA,Group Processes and Intergroup Relations,2018,1360
"Sullivan, E.T.",E.T., Sullivan,NA,Group Processes and Intergroup Relations,2018,1359
"McGee, Ebony",Ebony,McGee,female,Cognition and Instruction,2017,1201
"Comeaux, Eddie",Eddie,Comeaux,male,Journal of Science Education and Technology,2017,1691
"Venator, Edmond",Edmond, Venator,male,Chinese Sociological Review,2016,1199
"Lemon, Edmond",Edmond, Lemon,male,PLoS ONE,2018,1171
"Freeland, Edward",Edward, Freeland,male,Science,2014,26
"Kokkelenberg, Edward",Edward,Kokkelenberg,male,Economics of Education Review,2010,562
"Wille, Eike",Eike, Wille,NA,Journal of educational psychology,2017,139
"Zurbriggen, Eileen",Eileen, Zurbriggen,female,Emerging Adulthood,2018,1341
"Parsons, Eileen",Eileen, Parsons,female,Science Education,2018,898
"Fuchs, Elaine",Elaine, Fuchs,female,Cell Stem Cell,2015,459
"Scott, Elaine",Elaine, Scott,female,Journal of Women and Minorities in Science and Engineering,2015,378
"Yakura, Elaine",Elaine, Yakura,female,Women's Studies,2008,1854
"Godfrey, Elaine",Elaine, Godfrey,female,PLoS ONE,2017,1148
"Makarova, Elena",Elena,Makarova,female,Empirical Research in Vocational Education and Training,2016,1617
"Dell, Elizabeth",Elizabeth,Dell,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,242
"Brown, Elizabeth",Elizabeth, Brown,female,Personality and Social Psychology Review,2017,1447
"Kersey, Elizabeth",Elizabeth,Kersey,female,Psychology of Mathematics & Education of North America,2016,834
"Gunderson, Elizabeth",Elizabeth,Gunderson,female,Sex Roles,2011,1798
"Adamowicz, Elizabeth",Elizabeth,Adamowicz,female,FEMS microbiology letters,2017,1078
"Stearns, Elizabeth",Elizabeth, Stearns,female,Economics of Education Review,2015,555
"Litzler, Elizabeth",Elizabeth, Litzler,female,Journal of Women and Minorities in Science and Engineering,2007,422
"Stearns, Elizabeth",Elizabeth, Stearns,female,Social Currents,2016,1533
"Brown, Elizabeth",Elizabeth, Brown,female,Psychological Science,2010,1458
"Brown, Elizabeth",Elizabeth, Brown,female,Proceedings of the National Academy of Sciences of the United States of America,2015,1042
"Stearns, Elizabeth",Elizabeth, Stearns,female,International Journal of STEM Education,2018,1644
"Dell, Elizabeth",Elizabeth, Dell,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2015,325
"Corley, Elizabeth",Elizabeth, Corley,female,Social Science Journal,2009,671
"Shanahan, Elizabeth",Elizabeth, Shanahan,female,Journal of Diversity in Higher Education,2017,107
"Quinn, Elizabeth",Elizabeth, Quinn,female,2017 IEEE Women in Engineering (WIE) Forum USA East,2018,821
"Litzler, Elizabeth",Elizabeth,Litzler,female,Research in Higher Education,2014,1718
"Litzler, Elizabeth",Elizabeth,Litzler,female,Journal of Women and Minorities in Science and Engineering,2018,374
"Brown, Elizabeth",Elizabeth, Brown,female,Journal of personality and social psychology,2011,167
"Blair, Elizabeth",Elizabeth,Blair,female,Journal of Engineering Education,2017,957
"Paluck, Elizabeth",Elizabeth, Paluck,female,Social psychology quarterly,2015,1546
"Kiebel, Elizabeth",Elizabeth, Kiebel,female,Psychology of Women Quarterly,2018,1496
"Van Oosten, Ellen",Ellen,Van Oosten,female,Frontiers in Psychology,2017,770
"Walker, Ellen",Ellen, Walker,female,Contemporary Educational Psychology,2018,544
"Roskes, Ellen",Ellen, Roskes,female,Forum on Public Policy Online,2010,716
"Theobald, Elli",Elli, Theobald,female,Chemistry Education Research and Practice,2018,1189
"Hammer, Elliott",Elliott, Hammer,male,Cultural diversity & ethnic minority psychology,2014,80
"Hammer, Elliott",Elliott, Hammer,male,Social Psychology of Education,2015,1835
"Ruiz, Elsa",Elsa,Ruiz,female,New Directions for Higher Education,2013,934
"Guisado-Pintado, Emilia",Emilia, Guisado-Pintado,female,Palgrave Communications,2018,1593
"Miller, Emily",Emily, Miller,female,Educational Researcher,2018,1337
"Ingalls, Emily",Emily, Ingalls,female,Sex Roles,2018,1750
"Webb, Emily",Emily, Webb,female,PLoS ONE,2018,1176
"MacLeod, Emily",Emily, MacLeod,female,Sex Roles,2017,1793
"Goldman, Emily",Emily,Goldman,female,NASPA Journal About Women in Higher Education,2010,1292
"Coyle, Emily",Emily, Coyle,female,Role of Gender in Educational Contexts and Outcomes,2014,666
"Clark, Emily",Emily, Clark,female,Journal of personality and social psychology,2011,165
"Middleton, Emily",Emily, Middleton,female,American Journal of Physical Anthropology,2018,867
"Shaffer, Emily",Emily,Shaffer,female,Sex Roles,2013,1781
"Clark, Emily",Emily, Clark,female,Personality and Social Psychology Review,2017,1449
"Clark, Emily",Emily, Clark,female,Psychological Science,2010,1460
"Agbenyega, Emily",Emily, Agbenyega,female,Contemporary Educational Psychology,2013,541
"Fischer, Emily",Emily, Fischer,female,PLoS ONE,2017,1150
"Griffith, Emily",Emily, Griffith,female,PLoS ONE,2017,1153
"Clark, Emily",Emily, Clark,female,Social Issues and Policy Review,2018,1952
"Aitkin, Emma",Emma, Aitkin,female,Computers & Education,2018,524
"Holliday, Emma",Emma,Holliday,female,Advances in Radiation Oncology,2018,503
"Szathmary, Emoke",Emoke, Szathmary,NA,American Journal of Physical Anthropology,2018,869
"Bose, Enakshi",Enakshi, Bose,NA,Research in Higher Education,2009,1732
"Grodsky, Eric",Eric, Grodsky,male,American Educational Research Journal,2012,1319
"Brevik, Eric",Eric,Brevik,male,Soil Science Society of America Journal,2018,1577
"Deemer, Eric",Eric,Deemer,male,Journal of Career Development,2015,1404
"Triplett, Eric",Eric, Triplett,male,CBE Life Sciences Education,2016,183
"Greenwald, Eric",Eric, Greenwald,male,Science Education,2014,910
"Deemer, Eric",Eric,Deemer,male,Journal of Career Assessment,2012,1384
"Deemer, Eric",Eric,Deemer,male,Career Development Quarterly,2014,1896
"Walker, Erica",Erica, Walker,female,Journal of Negro Education,2012,788
"Lynn, Erica",Erica, Lynn,female,Journal of Women and Minorities in Science and Engineering,2011,437
"Walker, Erica",Erica, Walker,female,Journal of Women and Minorities in Science and Engineering,2011,425
"Weisgram, Erica",Erica, Weisgram,female,Social Issues and Policy Review,2015,1955
"Lynn, Erica",Erica, Lynn,female,Journal of Women and Minorities in Science and Engineering,2011,432
"Winterer, Erica",Erica,Winterer,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,230
"Kuiler, Erik",Erik, Kuiler,male,Review of Policy Research,2009,1949
"Weisgram, Erika",Erika,Weisgram,female,Social Sciences,2017,1005
"Hall, Erika",Erika, Hall,female,Journal of Research in Gender Studies,2016,9
"Patall, Erika",Erika,Patall,female,Science Education,2018,902
"Williams-Hatala, Erin",Erin, Williams-Hatala,female,American Journal of Physical Anthropology,2018,865
"Cech, Erin",Erin,Cech,female,American Sociological Review,2011,1322
"Chambers, Erin",Erin, Chambers,female,Frontiers in Psychology,2017,762
"Cech, Erin",Erin, Cech,female,Cultural diversity & ethnic minority psychology,2014,82
"Hennes, Erin",Erin, Hennes,female,Journal of Experimental Psychology: Applied,2018,159
"Dolan, Erin",Erin, Dolan,female,CBE Life Sciences Education,2017,195
"Reilly, Erin",Erin,Reilly,female,Journal of Career Development,2017,1401
"McPherson, Erin",Erin,McPherson,female,Personality and Social Psychology Bulletin,2018,1438
"Welch, Erin",Erin, Welch,female,Science Technology and Human Values,2018,1530
"Horvat, Erin",Erin, Horvat,female,Contemporary Educational Psychology,2013,540
"Hardin, Erin",Erin,Hardin,female,Journal of Counseling Psychology,2016,104
"Vogel, Erin",Erin, Vogel,female,American Journal of Physical Anthropology,2018,873
"McPherson, Erin",Erin,McPherson,female,Educational Psychology,2018,1224
"Grogan, Erin",Erin, Grogan,female,Developmental psychology,2012,89
"Cech, Erin",Erin, Cech,female,Work and Occupations,2018,1555
"Cech, Erin",Erin,Cech,female,American Journal of Cultural Sociology,2018,1096
"Afari, Ernest",Ernest, Afari,male,International Journal of Science and Mathematics Education,2016,1639
"Davenport Jr, Ernest",Ernest, Davenport Jr,male,Measurement and Evaluation in Counseling and Development,2014,1427
"Reuben, Ernesto",Ernesto,Reuben,male,Proceedings of the National Academy of Sciences of the United States of America,2014,1036
"Sinha, Esha",Esha, Sinha,female,Economics of Education Review,2010,563
"Hoshino-Browne, Etsuko",Etsuko, Hoshino-Browne,NA,Journal of Women and Minorities in Science and Engineering,2017,417
"Caplliure, Eva-María",Eva-María, Caplliure,NA,Journal of Business Research,2016,569
"Davis, Evan",Evan, Davis,male,School Science and Mathematics,2016,924
"Pietri, Evava",Evava, Pietri,NA,Journal of Experimental Psychology: Applied,2018,158
"Pietri, Evava",Evava,Pietri,NA,Psychology of Women Quarterly,2018,1502
"Pietri, Evava",Evava,Pietri,NA,Journal of experimental social psychology,2018,588
"Riskin, Eve",Eve, Riskin,female,Journal of Technology Transfer,2017,1698
"Riskin, Eve",Eve, Riskin,female,Journal of Diversity in Higher Education,2011,132
"Riskin, Eve",Eve, Riskin,female,Journal of Women and Minorities in Science and Engineering,2007,423
"Shishkova, Evgenia",Evgenia,Shishkova,female,Journal of the American Society for Mass Spectrometry,2017,1701
"Miller, Evonne",Evonne, Miller,female,International Journal of Art & Design Education,2016,1924
"Saclarides, Evthokia",Evthokia, Saclarides,NA,"Journal of College Student Retention: Research, Theory and Practice",2018,1406
"Saclarides, Evthokia",Evthokia, Saclarides,NA,Educational Researcher,2018,1338
"McPherson, Ezella",Ezella,McPherson,NA,Journal of Women and Minorities in Science and Engineering,2016,405
"Ozgumus, Ezgi",Ezgi, Ozgumus,NA,Psychology of Women Quarterly,2018,1504
"Ozgumus, Ezgi",Ezgi, Ozgumus,NA,Journal of experimental social psychology,2018,590
"Visentin, Fabiana",Fabiana, Visentin,female,PLoS ONE,2015,1156
"Backus, Faedra",Faedra, Backus,NA,Journal of Career Development,2013,1398
"Rankins, Falcon",Falcon, Rankins,male,Peer Review,2014,362
"Crosby, Faye",Faye, Crosby,female,Emerging Adulthood,2018,1342
"Crosby, Faye",Faye, Crosby,female,Journal of Social Issues,2011,1940
"Ye, Feifei",Feifei, Ye,NA,Frontiers in Psychology,2015,753
"Thoemmes, Felix",Felix, Thoemmes,male,Frontiers in Psychology,2017,736
"Danbold, Felix",Felix,Danbold,male,Journal of experimental social psychology,2017,586
"Radicchi, Filippo",Filippo, Radicchi,male,PLoS Biology,2016,1121
"Watt, Fiona",Fiona, Watt,female,Cell Stem Cell,2015,478
"Watt, Fiona",Fiona, Watt,female,Cell Stem Cell,2015,449
"Berman, Francine",Francine,Berman,female,Plos Biology,2015,1125
"Vermeylen, Francoise",Francoise, Vermeylen,NA,Frontiers in Psychology,2017,738
"Laanan, Frankie",Frankie, Laanan,male,New Directions for Higher Education,2013,940
"Laanan, Frankie",Frankie, Laanan,male,New Directions for Institutional Research,2011,951
"Jenkins, Fred",Fred, Jenkins,male,Reference Services Review,2012,709
"Borgen, Fred",Fred, Borgen,male,Journal of Career Assessment,2017,1374
"Smyth, Frederick",Frederick,Smyth,male,Frontiers in psychology,2015,754
"Lopez, Frederick",Frederick, Lopez,male,Journal of vocational behavior,2013,621
"Ampaw, Frim",Frim, Ampaw,NA,New Directions for Institutional Research,2011,942
"Ampaw, Frim",Frim, Ampaw,NA,Journal of Higher Education,2014,1283
"Ampaw, Frim",Frim, Ampaw,NA,Review of Higher Education,2017,1861
"Forbes, G. Anne",G. Anne, Forbes,NA,Contemporary Educational Psychology,2018,545
"Weaver, Gabriela",Gabriela, Weaver,female,Social Sciences,2017,985
"Lucas, Gale",Gale, Lucas,NA,Computers & Education,2016,517
"Sinatra, Gale",Gale, Sinatra,NA,Review of Educational Research,2018,1517
"Orfield, Gary",Gary, Orfield,male,Harvard Educational Review,2011,781
"Cohen, Geoff",Geoff, Cohen,NA,Psychology of Women Quarterly,2017,1489
"Potvin, Geoff",Geoff, Potvin,NA,Social Sciences,2018,991
"Knezek, Gerald",Gerald, Knezek,male,Journal of Science Education and Technology,2015,1658
"Knezek, Gerald",Gerald, Knezek,male,Computers in Human Behavior,2014,534
"Westerhuis, Gerarda",Gerarda, Westerhuis,NA,Small Business Economics,2018,1824
"Ramirez, Gerardo",Gerardo, Ramirez,male,Sex Roles,2011,1799
"Sonnert, Gerhard",Gerhard, Sonnert,male,Science Education,2012,913
"Sonnert, Gerhard",Gerhard, Sonnert,male,Gender & Society,2011,1347
"Sonnert, Gerhard",Gerhard, Sonnert,male,Journal of College Science Teaching,2013,1048
"Sonnert, Gerhard",Gerhard, Sonnert,male,Journal of Women and Minorities in Science and Engineering,2017,413
"Awad, Germine",Germine, Awad,NA,Journal of Career Development,2017,1403
"Little, Germysha",Germysha,Little,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,300
"Nehmeh, Ghada",Ghada,Nehmeh,female,Journal of Women and Minorities in Science and Engineering,2018,426
"Faitar, Gheorghita",Gheorghita,Faitar,NA,Procedia - Social and Behavioral Sciences,2013,653
"Stoet, Gijsbert",Gijsbert,Stoet,NA,Psychological Science,2018,1461
"Jew, Gilbert",Gilbert, Jew,male,Measurement and Evaluation in Counseling and Development,2014,1426
"Barabino, Gilda",Gilda, Barabino,female,Annals of Biomedical Engineering,2010,1612
"Sandstrom, Gillian",Gillian, Sandstrom,female,PLoS ONE,2018,1186
"Roussos, Gina",Gina, Roussos,female,Journal of Experimental Psychology: Applied,2018,162
"Ruether, Gina",Gina, Ruether,female,Computers & Education,2016,519
"Badini, Giovani",Giovani, Badini,male,PLoS ONE,2018,1167
"Kersaint, Gladis",Gladis, Kersaint,female,Journal of Science Education and Technology,2016,1688
"Flores, Glenda",Glenda,Flores,female,Latino Studies,2011,1099
"Adams, Glenn",Glenn, Adams,male,Social Psychology of Education,2015,1833
