author,fname,lastn,gender,pubtitle,date,id,pubtype
"DeBlaere, Cirleen",Cirleen,DeBlaere,NA,Journal of Counseling Psychology,2015,310,journal
"Ballen, Cissy",Cissy,Ballen,NA,BioScience,2018,64,journal
"Ballen, Cissy",Cissy,Ballen,NA,PLoS ONE,2018,65,journal
"Ballen, Cissy",Cissy,Ballen,NA,PLoS ONE,2017,66,journal
"Wladis, Claire",Claire,Wladis,female,Computers & Education,2015,1383,journal
"Wladis, Claire",Claire,Wladis,female,Community College Review,2015,1382,journal
"Pomeroy, Claire",Claire,Pomeroy,female,Cell Stem Cell,2015,1022,journal
"Wilson, Claire",Claire,Wilson,female,Journal of Science Education and Technology,2017,1372,journal
"Robbins, Claire",Claire,Robbins,female,Journal of Higher Education,2012,1077,journal
"Richardson, Clarissa",Clarissa,Richardson,female,Journal of vocational behavior,2013,1060,journal
"Rankins, Claudia",Claudia,Rankins,female,New Directions for Higher Education,2013,1045,journal
"Rankins, Claudia",Claudia,Rankins,female,Peer Review,2014,1046,journal
"Cooperman, Claudia",Claudia,Cooperman,female,Psychology of Women Quarterly,2018,263,journal
"Herman, Clem",Clem,Herman,male,Journal of Education & Work,2015,1636,journal
"Carrigan, Coleen",Coleen,Carrigan,female,Journal of Diversity in Higher Education,2011,198,journal
"Carrigan, Coleen",Coleen,Carrigan,female,Journal of Women and Minorities in Science and Engineering,2007,200,journal
"Carrigan, Coleen",Coleen,Carrigan,female,Journal of Technology Transfer,2017,199,journal
"Ganley, Colleen",Colleen,Ganley,female,American Educational Research Journal,2018,433,journal
"Ruud, Collin",Collin,Ruud,male,"Journal of College Student Retention: Research, Theory and Practice",2018,1828,journal
"Mineo, Concetta",Concetta,Mineo,female,Psychology of Women Quarterly,2013,872,journal
"McNeely, Connie",Connie,McNeely,female,Review of Policy Research,2010,840,journal
"McNeely, Connie",Connie,McNeely,female,Review of Policy Research,2009,839,journal
"McNeely, Connie",Connie,McNeely,female,Review of Policy Research,2010,838,journal
"Columb, Corey",Corey,Columb,male,Sex Roles,2018,1525,journal
"Bargmann, Cori",Cori,Bargmann,female,Cell Stem Cell,2015,73,journal
"Moss-Racusin, Corinne",Corinne,Moss-Racusin,female,Sex Roles,2018,903,journal
"Moss-Racusin, Corinne",Corinne,Moss-Racusin,female,Psychology of Women Quarterly,2015,902,journal
"Boushel, Corra",Corra,Boushel,female,Science Communication,2017,148,journal
"Moss-Racusin, Corrinne",Corrinne,Moss-Racusin,female,Journal of Experimental Psychology: Applied,2018,904,journal
"Bahrim, Cristian",Cristian,Bahrim,male,Journal of Science Education and Technology,2016,1458,journal
"Lopez, Cristina",Cristina,Lopez,female,Social Sciences,2018,759,journal
"Martin, Cristopher",Cristopher,Martin,male,Journal of Science Education and Technology,2016,1726,journal
"Hoyt, Crystal",Crystal,Hoyt,female,Leadership Quarterly,2016,567,journal
"Deville, Curtiland",Curtiland,Deville,NA,Advances in Radiation Oncology,2018,1547,journal
"Martin, Cynthia",Cynthia,Martin,female,Gender Issues,2011,803,journal
"Young, Cynthia",Cynthia,Young,female,Journal of College Student Retention-Research Theory & Practice,2016,1420,journal
"Ricard, Cynthia",Cynthia,Ricard,female,Journal of Research Administration,2011,1056,journal
"Anderson, Cynthia",Cynthia,Anderson,female,Advances in Gender Research,2014,31,journal
"Furse, Cynthia",Cynthia,Furse,female,Journal of Career Assessment,2013,427,journal
"Stanich, Cynthia",Cynthia,Stanich,female,Chemistry Education Research and Practice,2018,1222,journal
"Winston-Proctor, Cynthia",Cynthia,Winston-Proctor,female,Review of Research in Education,2018,1380,journal
"Raman, D. Raj",D. Raj,Raman,NA,International Journal of Engineering Education,2013,1802,journal
"Gelbgiser, Dafna",Dafna,Gelbgiser,female,Social science research,2013,449,journal
"Gelbgiser, Dafna",Dafna,Gelbgiser,female,Sociological Science,2017,450,journal
"Martinez, Dalinda",Dalinda,Martinez,female,Change,2015,806,journal
"Robinson, Daniel",Daniel,Robinson,male,Journal of Veterinary Medical Education,2009,1818,journal
"Grunspan, Daniel",Daniel,Grunspan,male,PLoS ONE,2016,1619,journal
"Glaser, Daniela",Daniela,Glaser,female,Social Sciences,2017,461,journal
"Ramo, Danielle",Danielle,Ramo,female,Journal of Medical Internet Research,2018,1043,journal
"Bitterman, Danielle",Danielle,Bitterman,female,Advances in Radiation Oncology,2018,125,journal
"Abraham, Danielle",Danielle,Abraham,female,Social Sciences,2017,2,journal
"Morales, Danielle",Danielle,Morales,female,Science Education,2018,891,journal
"Oyler, Danielle",Danielle,Oyler,female,Group Processes and Intergroup Relations,2018,958,journal
"Myers, Dante",Dante,Myers,male,Career Development Quarterly,2015,1760,journal
"Myers, Dante",Dante,Myers,male,Career Development Quarterly,2017,1761,journal
"Ireland, Danyelle",Danyelle,Ireland,female,Review of Research in Education,2018,593,journal
"Pedersen, Daphne",Daphne,Pedersen,female,Journal of Feminist Family Therapy,2017,991,journal
"Pedersen, Daphne",Daphne,Pedersen,female,Sociological Focus,2018,992,journal
"Ronan, Darcy",Darcy,Ronan,female,Journal of Research in Science Teaching,2017,1089,journal
"Smith, Daryl",Daryl,Smith,male,Studies in Higher Education,2017,1849,journal
"Miller, David",David,Miller,male,Perspectives on Psychological Science,2016,1747,journal
"Koonce, David",David,Koonce,male,Advances in Gender Research,2014,1679,journal
"Miller, David",David,Miller,male,Learning and Individual Differences,2013,1746,journal
"Dawley, David",David,Dawley,male,Forensic Science Policy & Management: An International Journal,2014,1539,journal
"Lindbo, David",David,Lindbo,male,Soil Science Society of America Journal,2018,1707,journal
"Miller, David",David,Miller,male,Frontiers in psychology,2015,1745,journal
"Ober, David",David,Ober,male,School Science and Mathematics,2015,1769,journal
"Marx, David",David,Marx,male,Sex Roles,2013,1728,journal
"Kniola, David",David,Kniola,male,Higher Education,2012,1674,journal
"Bristol, David",David,Bristol,male,Journal of the American Veterinary Medical Association,2011,1488,journal
"MacPhee, David",David,MacPhee,male,Analyses of Social Issues and Public Policy,2013,1716,journal
"Reed, David",David,Reed,male,Horttechnology,2014,1808,journal
"Renz, David",David,Renz,male,Leadership & Management in Engineering,2010,1810,journal
"Geary, David",David,Geary,male,Psychological Science,2018,1593,journal
"Blustein, David",David,Blustein,male,Journal of Science Education and Technology,2016,1478,journal
"Berg, David",David,Berg,male,Cell Stem Cell,2015,1471,journal
"Weindorf, David",David,Weindorf,male,Soil Science Society of America Journal,2018,1914,journal
"Blustein, David",David,Blustein,male,Journal of Career Development,2013,1477,journal
"Johnson, Dawn",Dawn,Johnson,female,Journal of College Student Development,2012,621,journal
"Johnson, Dawn",Dawn,Johnson,female,New Directions for Institutional Research,2011,622,journal
"Weintraub, Dayna",Dayna,Weintraub,female,Research in Higher Education,2016,1345,journal
"Chakraborty, Debolina",Debolina,Chakraborty,NA,Agronomy Journal,2017,213,journal
"Olsen, Deborah",Deborah,Olsen,female,Higher Education,2012,947,journal
"Ward, Deborah",Deborah,Ward,female,Personality and Social Psychology Bulletin,2018,1329,journal
"O'Bannon, Deborah",Deborah,O'Bannon,female,Leadership & Management in Engineering,2010,938,journal
"Major, Debra",Debra,Major,female,Career Development Quarterly,2010,787,journal
"Easterly, Debra",Debra,Easterly,female,Journal of Research Administration,2011,357,journal
"Major, Debra",Debra,Major,female,Career Development Quarterly,2017,789,journal
"Major, Debra",Debra,Major,female,Career Development Quarterly,2015,788,journal
"Wassenberg, Deena",Deena,Wassenberg,female,BioScience,2018,1331,journal
"Sharma, Deepika",Deepika,Sharma,female,International Journal of Information and Communication Technology Education (IJICTE),2017,1170,journal
"Rice, Delores",Delores,Rice,female,Journal of STEM Education : Innovations and Research,2014,1057,journal
"Evangelou, Demetra",Demetra,Evangelou,female,Motivation and Emotion,2012,382,journal
"Dortch, Deniece",Deniece,Dortch,NA,NASPA Journal About Women in Higher Education,2017,344,journal
"Wilson, Denise",Denise,Wilson,female,Journal of Women and Minorities in Science and Engineering,2015,1373,journal
"Sekaquaptewa, Denise",Denise,Sekaquaptewa,female,Psychology of Women Quarterly,2016,1158,journal
"Sekaquaptewa, Denise",Denise,Sekaquaptewa,female,Social Psychology of Education,2013,1159,journal
"Epple, Dennis",Dennis,Epple,male,American Economic Review,2016,1568,journal
"DeBay, Dennis",Dennis,DeBay,male,Journal of Career Development,2013,1540,journal
"Reidy, Dennis",Dennis,Reidy,male,Journal of Womens Health,2016,1809,journal
"Leung, Desmond",Desmond,Leung,male,Industrial and Organizational Psychology,2018,1698,journal
"Tierney, Destiny",Destiny,Tierney,female,Group Processes and Intergroup Relations,2018,1279,journal
"Betz, Diana",Diana,Betz,female,Social Psychology of Education,2013,116,journal
"Bilimoria, Diana",Diana,Bilimoria,female,Career Development International,2013,122,journal
"Bilimoria, Diana",Diana,Bilimoria,female,Frontiers in Psychology,2014,124,journal
"Bilimoria, Diana",Diana,Bilimoria,female,Frontiers in Psychology,2017,123,journal
"Halpern, Diane",Diane,Halpern,female,Learning and Individual Differences,2013,511,journal
"Rowland, Diane",Diane,Rowland,female,Agronomy Journal,2017,1101,journal
"Lukas, Dieter",Dieter,Lukas,male,PLoS ONE,2018,1714,journal
"Sarathchandra, Dilshani",Dilshani,Sarathchandra,NA,Social Sciences,2018,1127,journal
"Jackson, Dimitra",Dimitra,Jackson,female,New Directions for Higher Education,2013,600,journal
"Jackson, Dimitra",Dimitra,Jackson,female,Community College Enterprise,2013,599,journal
"Jackson, Dimitra",Dimitra,Jackson,female,New Directions for Institutional Research,2011,601,journal
"Jackson, Dimitra",Dimitra,Jackson,female,The Journal of Negro Education,2013,602,journal
"Verdin, Dina",Dina,Verdin,female,Social Sciences,2018,1302,journal
"Tumin, Dmitry",Dmitry,Tumin,male,Demographic Research,2016,1894,journal
"Prime, Dominic",Dominic,Prime,male,Journal of Career Assessment,2015,1798,journal
"Polkowska, Dominika",Dominika,Polkowska,female,Journal of technology management & innovation,2013,1019,journal
"Davis, Don",Don,Davis,male,Journal of Counseling Psychology,2015,1535,journal
"Whalen, Donald",Donald,Whalen,male,Journal of STEM Education : Innovations and Research,2010,1920,journal
"Ginther, Donna",Donna,Ginther,female,Frontiers in psychology,2015,458,journal
"Sayman, Donna",Donna,Sayman,female,Journal of Latinos & Education,2013,1140,journal
"Garcia, Donna",Donna,Garcia,female,Cultural diversity & ethnic minority psychology,2014,435,journal
"Huryn, Donna",Donna,Huryn,female,ACS Medicinal Chemistry Letters,2017,577,journal
"Ginther, Donna",Donna,Ginther,female,Psychological Science in the Public Interest,2014,459,journal
"Reese, Donna",Donna,Reese,female,Communications of the Association for Information Systems,2018,1052,journal
"Garcia, Donna",Donna,Garcia,female,Social Psychology of Education,2015,436,journal
"Milgram, Donna",Donna,Milgram,female,Technology and Engineering Teacher,2011,866,journal
"Anderson, Drake",Drake,Anderson,male,Group Processes and Intergroup Relations,2018,1452,journal
"Thoman, Dustin",Dustin,Thoman,male,Psychology of Women Quarterly,2013,1881,journal
"Thoman, Dustin",Dustin,Thoman,male,Sex Roles,2008,1882,journal
"Plant, E. Ashby",E. Ashby,Plant,NA,Sex Roles,2018,1015,journal
"Iskander, E. Tiffany",E. Tiffany,Iskander,NA,Journal of Career Assessment,2013,594,journal
"McGee, Ebony",Ebony,McGee,female,Cognition and Instruction,2017,831,journal
"Comeaux, Eddie",Eddie,Comeaux,male,Journal of Science Education and Technology,2017,1526,journal
"Lemon, Edmond",Edmond,Lemon,male,PLoS ONE,2018,1691,journal
"Venator, Edmond",Edmond,Venator,male,Chinese Sociological Review,2016,1898,journal
"Freeland, Edward",Edward,Freeland,male,Science,2014,1585,journal
"Kokkelenberg, Edward",Edward,Kokkelenberg,male,Economics of Education Review,2010,1678,journal
"Wille, Eike",Eike,Wille,NA,Journal of educational psychology,2017,1364,journal
"Zurbriggen, Eileen",Eileen,Zurbriggen,female,Emerging Adulthood,2018,1437,journal
"Parsons, Eileen",Eileen,Parsons,female,Science Education,2018,982,journal
"Scott, Elaine",Elaine,Scott,female,Journal of Women and Minorities in Science and Engineering,2015,1156,journal
"Fuchs, Elaine",Elaine,Fuchs,female,Cell Stem Cell,2015,424,journal
"Yakura, Elaine",Elaine,Yakura,female,Women's Studies,2008,1405,journal
"Godfrey, Elaine",Elaine,Godfrey,female,PLoS ONE,2017,467,journal
"Makarova, Elena",Elena,Makarova,female,Empirical Research in Vocational Education and Training,2016,790,journal
"Stearns, Elizabeth",Elizabeth,Stearns,female,International Journal of STEM Education,2018,1228,journal
"Blair, Elizabeth",Elizabeth,Blair,female,Journal of Engineering Education,2017,129,journal
"Stearns, Elizabeth",Elizabeth,Stearns,female,Social Currents,2016,1229,journal
"Brown, Elizabeth",Elizabeth,Brown,female,Psychological Science,2010,162,journal
"Kersey, Elizabeth",Elizabeth,Kersey,female,Psychology of Mathematics & Education of North America,2016,677,journal
"Kiebel, Elizabeth",Elizabeth,Kiebel,female,Psychology of Women Quarterly,2018,680,journal
"Litzler, Elizabeth",Elizabeth,Litzler,female,Research in Higher Education,2014,745,journal
"Brown, Elizabeth",Elizabeth,Brown,female,Journal of personality and social psychology,2011,159,journal
"Litzler, Elizabeth",Elizabeth,Litzler,female,Journal of Women and Minorities in Science and Engineering,2007,743,journal
"Shanahan, Elizabeth",Elizabeth,Shanahan,female,Journal of Diversity in Higher Education,2017,1168,journal
"Brown, Elizabeth",Elizabeth,Brown,female,Personality and Social Psychology Review,2017,160,journal
"Paluck, Elizabeth",Elizabeth,Paluck,female,Social psychology quarterly,2015,968,journal
"Adamowicz, Elizabeth",Elizabeth,Adamowicz,female,FEMS microbiology letters,2017,5,journal
"Gunderson, Elizabeth",Elizabeth,Gunderson,female,Sex Roles,2011,500,journal
"Quinn, Elizabeth",Elizabeth,Quinn,female,2017 IEEE Women in Engineering (WIE) Forum USA East,2018,1035,journal
"Litzler, Elizabeth",Elizabeth,Litzler,female,Journal of Women and Minorities in Science and Engineering,2018,744,journal
"Stearns, Elizabeth",Elizabeth,Stearns,female,Economics of Education Review,2015,1227,journal
"Corley, Elizabeth",Elizabeth,Corley,female,Social Science Journal,2009,264,journal
"Roskes, Ellen",Ellen,Roskes,female,Forum on Public Policy Online,2010,1093,journal
"Van Oosten, Ellen",Ellen,Van Oosten,female,Frontiers in Psychology,2017,1296,journal
"Walker, Ellen",Ellen,Walker,female,Contemporary Educational Psychology,2018,1316,journal
"Theobald, Elli",Elli,Theobald,female,Chemistry Education Research and Practice,2018,1272,journal
"Hammer, Elliott",Elliott,Hammer,male,Social Psychology of Education,2015,1624,journal
"Hammer, Elliott",Elliott,Hammer,male,Cultural diversity & ethnic minority psychology,2014,1623,journal
"Ruiz, Elsa",Elsa,Ruiz,female,New Directions for Higher Education,2013,1105,journal
"Guisado-Pintado, Emilia",Emilia,Guisado-Pintado,female,Palgrave Communications,2018,498,journal
"Clark, Emily",Emily,Clark,female,Psychological Science,2010,244,journal
"Clark, Emily",Emily,Clark,female,Personality and Social Psychology Review,2017,243,journal
"Middleton, Emily",Emily,Middleton,female,American Journal of Physical Anthropology,2018,864,journal
"Agbenyega, Emily",Emily,Agbenyega,female,Contemporary Educational Psychology,2013,10,journal
"Ingalls, Emily",Emily,Ingalls,female,Sex Roles,2018,585,journal
"Clark, Emily",Emily,Clark,female,Journal of personality and social psychology,2011,242,journal
"Webb, Emily",Emily,Webb,female,PLoS ONE,2018,1338,journal
"Clark, Emily",Emily,Clark,female,Social Issues and Policy Review,2018,245,journal
"Shaffer, Emily",Emily,Shaffer,female,Sex Roles,2013,1166,journal
"Fischer, Emily",Emily,Fischer,female,PLoS ONE,2017,401,journal
"MacLeod, Emily",Emily,MacLeod,female,Sex Roles,2017,784,journal
"Griffith, Emily",Emily,Griffith,female,PLoS ONE,2017,488,journal
"Miller, Emily",Emily,Miller,female,Educational Researcher,2018,868,journal
"Coyle, Emily",Emily,Coyle,female,Role of Gender in Educational Contexts and Outcomes,2014,271,journal
"Goldman, Emily",Emily,Goldman,female,NASPA Journal About Women in Higher Education,2010,471,journal
"Aitkin, Emma",Emma,Aitkin,female,Computers & Education,2018,16,journal
"Holliday, Emma",Emma,Holliday,female,Advances in Radiation Oncology,2018,557,journal
"Szathmary, Emoke",Emoke,Szathmary,NA,American Journal of Physical Anthropology,2018,1258,journal
"Bose, Enakshi",Enakshi,Bose,NA,Research in Higher Education,2009,143,journal
"Brevik, Eric",Eric,Brevik,male,Soil Science Society of America Journal,2018,1487,journal
"Deemer, Eric",Eric,Deemer,male,Journal of Career Development,2015,1543,journal
"Deemer, Eric",Eric,Deemer,male,Career Development Quarterly,2014,1541,journal
"Triplett, Eric",Eric,Triplett,male,CBE Life Sciences Education,2016,1890,journal
"Grodsky, Eric",Eric,Grodsky,male,American Educational Research Journal,2012,1615,journal
"Deemer, Eric",Eric,Deemer,male,Journal of Career Assessment,2012,1542,journal
"Greenwald, Eric",Eric,Greenwald,male,Science Education,2014,1614,journal
"Walker, Erica",Erica,Walker,female,Journal of Women and Minorities in Science and Engineering,2011,1318,journal
"Lynn, Erica",Erica,Lynn,female,Journal of Women and Minorities in Science and Engineering,2011,777,journal
"Weisgram, Erica",Erica,Weisgram,female,Social Issues and Policy Review,2015,1346,journal
"Lynn, Erica",Erica,Lynn,female,Journal of Women and Minorities in Science and Engineering,2011,778,journal
"Walker, Erica",Erica,Walker,female,Journal of Negro Education,2012,1317,journal
"Kuiler, Erik",Erik,Kuiler,male,Review of Policy Research,2009,1683,journal
"Hall, Erika",Erika,Hall,female,Journal of Research in Gender Studies,2016,509,journal
"Weisgram, Erika",Erika,Weisgram,female,Social Sciences,2017,1347,journal
"McClellan, Erika",Erika,McClellan,female,Group Processes and Intergroup Relations,2018,824,journal
"Patall, Erika",Erika,Patall,female,Science Education,2018,986,journal
"Grogan, Erin",Erin,Grogan,female,Developmental psychology,2012,490,journal
"Hennes, Erin",Erin,Hennes,female,Journal of Experimental Psychology: Applied,2018,540,journal
"Cech, Erin",Erin,Cech,female,Cultural diversity & ethnic minority psychology,2014,210,journal
"Welch, Erin",Erin,Welch,female,Science Technology and Human Values,2018,1349,journal
"McPherson, Erin",Erin,McPherson,female,Educational Psychology,2018,841,journal
"Dolan, Erin",Erin,Dolan,female,CBE Life Sciences Education,2017,340,journal
"Hardin, Erin",Erin,Hardin,female,Journal of Counseling Psychology,2016,522,journal
"Chambers, Erin",Erin,Chambers,female,Frontiers in Psychology,2017,214,journal
"McPherson, Erin",Erin,McPherson,female,Personality and Social Psychology Bulletin,2018,842,journal
"Cech, Erin",Erin,Cech,female,American Journal of Cultural Sociology,2018,208,journal
"Sullivan, Erin",Erin,Sullivan,female,Group Processes and Intergroup Relations,2018,1254,journal
"Horvat, Erin",Erin,Horvat,female,Contemporary Educational Psychology,2013,562,journal
"Reilly, Erin",Erin,Reilly,female,Journal of Career Development,2017,1053,journal
"Williams-Hatala, Erin",Erin,Williams-Hatala,female,American Journal of Physical Anthropology,2018,1370,journal
"Vogel, Erin",Erin,Vogel,female,American Journal of Physical Anthropology,2018,1313,journal
"Cech, Erin",Erin,Cech,female,Work and Occupations,2018,211,journal
"Cech, Erin",Erin,Cech,female,American Sociological Review,2011,209,journal
"Davenport Jr, Ernest",Ernest,Davenport Jr,male,Measurement and Evaluation in Counseling and Development,2014,1533,journal
"Afari, Ernest",Ernest,Afari,male,International Journal of Science and Mathematics Education,2016,1446,journal
"Sinha, Esha",Esha,Sinha,female,Economics of Education Review,2010,1191,journal
"Hoshino-Browne, Etsuko",Etsuko,Hoshino-Browne,NA,Journal of Women and Minorities in Science and Engineering,2017,563,journal
"Caplliure, Eva-Maria",Eva-Maria,Caplliure,NA,Journal of Business Research,2016,194,journal
"Davis, Evan",Evan,Davis,male,School Science and Mathematics,2016,1536,journal
"Pietri, Evava",Evava,Pietri,NA,Psychology of Women Quarterly,2018,1010,journal
"Pietri, Evava",Evava,Pietri,NA,Journal of experimental social psychology,2018,1009,journal
"Pietri, Evava",Evava,Pietri,NA,Journal of Experimental Psychology: Applied,2018,1008,journal
"Riskin, Eve",Eve,Riskin,female,Journal of Technology Transfer,2017,1073,journal
"Riskin, Eve",Eve,Riskin,female,Journal of Women and Minorities in Science and Engineering,2007,1074,journal
"Riskin, Eve",Eve,Riskin,female,Journal of Diversity in Higher Education,2011,1072,journal
"Shishkova, Evgenia",Evgenia,Shishkova,female,Journal of the American Society for Mass Spectrometry,2017,1180,journal
"Miller, Evonne",Evonne,Miller,female,International Journal of Art & Design Education,2016,869,journal
"Saclarides, Evthokia",Evthokia,Saclarides,NA,Educational Researcher,2018,1113,journal
"Saclarides, Evthokia",Evthokia,Saclarides,NA,"Journal of College Student Retention: Research, Theory and Practice",2018,1114,journal
"McPherson, Ezella",Ezella,McPherson,NA,Journal of Women and Minorities in Science and Engineering,2016,843,journal
"Ozgumus, Ezgi",Ezgi,Ozgumus,NA,Psychology of Women Quarterly,2018,961,journal
"Ozgumus, Ezgi",Ezgi,Ozgumus,NA,Journal of experimental social psychology,2018,960,journal
"Visentin, Fabiana",Fabiana,Visentin,female,PLoS ONE,2015,1311,journal
"Backus, Faedra",Faedra,Backus,NA,Journal of Career Development,2013,56,journal
"Kares, Faith",Faith,Kares,female,Applied Developmental Science,2018,656,journal
"Rankins, Falcon",Falcon,Rankins,male,Peer Review,2014,1805,journal
"Crosby, Faye",Faye,Crosby,female,Emerging Adulthood,2018,282,journal
"Crosby, Faye",Faye,Crosby,female,Journal of Social Issues,2011,283,journal
"Ye, Feifei",Feifei,Ye,NA,Frontiers in Psychology,2015,1409,journal
"Danbold, Felix",Felix,Danbold,male,Journal of experimental social psychology,2017,1532,journal
"Thoemmes, Felix",Felix,Thoemmes,male,Frontiers in Psychology,2017,1880,journal
"Radicchi, Filippo",Filippo,Radicchi,male,PLoS Biology,2016,1801,journal
"Watt, Fiona",Fiona,Watt,female,Cell Stem Cell,2015,1335,journal
"Watt, Fiona",Fiona,Watt,female,Cell Stem Cell,2015,1334,journal
"Berman, Francine",Francine,Berman,female,Plos Biology,2015,108,journal
"Vermeylen, Francoise",Francoise,Vermeylen,NA,Frontiers in Psychology,2017,1899,journal
"Laanan, Frankie",Frankie,Laanan,male,New Directions for Higher Education,2013,1686,journal
"Laanan, Frankie",Frankie,Laanan,male,New Directions for Institutional Research,2011,1687,journal
"Borgen, Fred",Fred,Borgen,male,Journal of Career Assessment,2017,1480,journal
"Jenkins, Fred",Fred,Jenkins,male,Reference Services Review,2012,1658,journal
"Smyth, Frederick",Frederick,Smyth,male,Frontiers in psychology,2015,1851,journal
"Lopez, Frederick",Frederick,Lopez,male,Journal of vocational behavior,2013,1713,journal
"Ampaw, Frim",Frim,Ampaw,NA,Journal of Higher Education,2014,27,journal
"Ampaw, Frim",Frim,Ampaw,NA,New Directions for Institutional Research,2011,28,journal
"Ampaw, Frim",Frim,Ampaw,NA,Review of Higher Education,2017,29,journal
"Forbes, G. Anne",G. Anne,Forbes,NA,Contemporary Educational Psychology,2018,408,journal
"Weaver, Gabriela",Gabriela,Weaver,female,Social Sciences,2017,1337,journal
"Lucas, Gale",Gale,Lucas,NA,Computers & Education,2016,770,journal
"Sinatra, Gale",Gale,Sinatra,NA,Review of Educational Research,2018,1188,journal
"Orfield, Gary",Gary,Orfield,male,Harvard Educational Review,2011,1776,journal
"Cohen, Geoff",Geoff,Cohen,NA,Psychology of Women Quarterly,2017,1523,journal
"Potvin, Geoff",Geoff,Potvin,NA,Social Sciences,2018,1024,journal
"Knezek, Gerald",Gerald,Knezek,male,Journal of Science Education and Technology,2015,1673,journal
"Knezek, Gerald",Gerald,Knezek,male,Computers in Human Behavior,2014,1672,journal
"Westerhuis, Gerarda",Gerarda,Westerhuis,NA,Small Business Economics,2018,1352,journal
"Ramirez, Gerardo",Gerardo,Ramirez,male,Sex Roles,2011,1803,journal
"Sonnert, Gerhard",Gerhard,Sonnert,male,Gender & Society,2011,1853,journal
"Sonnert, Gerhard",Gerhard,Sonnert,male,Journal of Women and Minorities in Science and Engineering,2017,1855,journal
"Sonnert, Gerhard",Gerhard,Sonnert,male,Journal of College Science Teaching,2013,1854,journal
"Sonnert, Gerhard",Gerhard,Sonnert,male,Science Education,2012,1856,journal
"Awad, Germine",Germine,Awad,NA,Journal of Career Development,2017,54,journal
"Nehmeh, Ghada",Ghada,Nehmeh,female,Journal of Women and Minorities in Science and Engineering,2018,924,journal
"Faitar, Gheorghita",Gheorghita,Faitar,NA,Procedia - Social and Behavioral Sciences,2013,387,journal
"Stoet, Gijsbert",Gijsbert,Stoet,NA,Psychological Science,2018,1863,journal
"Jew, Gilbert",Gilbert,Jew,male,Measurement and Evaluation in Counseling and Development,2014,1659,journal
"Barabino, Gilda",Gilda,Barabino,female,Annals of Biomedical Engineering,2010,72,journal
"Sandstrom, Gillian",Gillian,Sandstrom,female,PLoS ONE,2018,1121,journal
"Ruether, Gina",Gina,Ruether,female,Computers & Education,2016,1102,journal
"Roussos, Gina",Gina,Roussos,female,Journal of Experimental Psychology: Applied,2018,1098,journal
"Badini, Giovani",Giovani,Badini,male,PLoS ONE,2018,1457,journal
"Kersaint, Gladis",Gladis,Kersaint,female,Journal of Science Education and Technology,2016,676,journal
"Flores, Glenda",Glenda,Flores,female,Latino Studies,2011,405,journal
"Adams, Glenn",Glenn,Adams,male,Social Psychology of Education,2015,1444,journal
"Adams, Glenn",Glenn,Adams,male,Cultural diversity & ethnic minority psychology,2014,1443,journal
"Bivens, Glennda",Glennda,Bivens,NA,New Directions for Community Colleges,2014,126,journal
"Segovia, Gloria",Gloria,Segovia,female,Applied Developmental Science,2018,1157,journal
"Lim, Gloria",Gloria,Lim,female,Physical Review Physics Education Research,2016,739,journal
"Lim, Gloria",Gloria,Lim,female,Journal of Higher Education,2017,738,journal
"Vunjak-Novakovic, Gordana",Gordana,Vunjak-Novakovic,NA,Cell Stem Cell,2015,1314,journal
"Miot da Silva, Graziela",Graziela,Miot da Silva,NA,Palgrave Communications,2018,878,journal
"Wolniak, Gregory",Gregory,Wolniak,male,Research in Higher Education,2012,1926,journal
"Walton, Gregory",Gregory,Walton,male,Journal of educational psychology,2015,1904,journal
"Lewis, Gregory",Gregory,Lewis,male,Social Science Journal,2011,1702,journal
"Bott, Gregory",Gregory,Bott,male,Communications of the Association for Information Systems,2018,1481,journal
"Wolniak, Gregory",Gregory,Wolniak,male,Teachers College Record,2013,1927,journal
"Chang, Gregory",Gregory,Chang,male,Clinical Imaging,2018,1509,journal
"Bauer, Greta",Greta,Bauer,female,BMC Public Health,2015,82,journal
"Soncuya, Gretchen",Gretchen,Soncuya,female,Psychology of Women Quarterly,2013,1217,journal
"Villalobos, Guillermo",Guillermo,Villalobos,male,Social Psychology of Education,2015,1900,journal
"Tracy, Hailee",Hailee,Tracy,female,Social Sciences,2018,1284,journal
"Wang, Haiwen",Haiwen,Wang,NA,Journal of Research in Science Teaching,2016,1323,journal
"Shepherd, Hana",Hana,Shepherd,female,Social psychology quarterly,2015,1176,journal
"Lee, Hang-Shim",Hang-Shim,Lee,NA,Journal of vocational behavior,2015,721,journal
"Power, Hannah",Hannah,Power,female,Palgrave Communications,2018,1026,journal
"Whang, Hannah",Hannah,Whang,female,Research in Higher Education,2015,1354,journal
"Whang, Hannah",Hannah,Whang,female,Research in Higher Education,2016,1353,journal
"Ribeiro, Haroldo",Haroldo,Ribeiro,NA,PLoS Biology,2016,1812,journal
"Falconer, Heather",Heather,Falconer,female,Journal of Research in Science Teaching,2017,388,journal
"Metcalf, Heather",Heather,Metcalf,female,Nature Human Behaviour,2018,854,journal
"Rowan-Kenyon, Heather",Heather,Rowan-Kenyon,female,Journal of Higher Education,2012,1099,journal
"Metcalf, Heather",Heather,Metcalf,female,Frontiers in Psychology,2017,853,journal
"Thiry, Heather",Heather,Thiry,female,Bulletin of the American Meteorological Society,2013,1273,journal
